user,username,city,country,latitude,longitude
0,Thigpen,Berlin,Germany,52.52437,13.41053
1,Livingston Municipal,Berlin,Germany,52.52437,13.41053
2,Meadow Lake,Berlin,Germany,52.52437,13.41053
3,Perry-Warsaw,Berlin,Germany,52.52437,13.41053
4,Hilliard Airpark,Berlin,Germany,52.52437,13.41053
5,Tishomingo County,Hamburg,Germany,53.57532,10.01534
6,Gragg-Wade,Hamburg,Germany,53.57532,10.01534
7,Capitol,Bern,Switzerland,46.94809,7.44744
8,Columbiana County,Bern,Switzerland,46.94809,7.44744
9,Memphis Memorial,Bern,Switzerland,46.94809,7.44744
10,Calhoun County,Bern,Switzerland,46.94809,7.44744
11,Hawley Municipal,Bern,Switzerland,46.94809,7.44744
12,Griffith-Merrillville,Bern,Switzerland,46.94809,7.44744
13,Gatesville - City/County,Bern,Switzerland,46.94809,7.44744
14,Eureka,Basel,Switzerland,47.55839,7.57327
15,Moton  Municipal,Basel,Switzerland,47.55839,7.57327
16,Schaumburg,Basel,Switzerland,47.55839,7.57327
17,Rolla Municipal,Basel,Switzerland,47.55839,7.57327
18,Eupora Municipal,Zurich,Switzerland,47.36667,8.55
19,Randall,Zurich,Switzerland,47.36667,8.55
20,Jackpot/Hayden,Zurich,Switzerland,47.36667,8.55
21,Dekalb County,Zurich,Switzerland,47.36667,8.55
22,Gladewater Municipal,Zurich,Switzerland,47.36667,8.55
23,Fitch H Beach,Zurich,Switzerland,47.36667,8.55
24,Central City Municipal,Zurich,Switzerland,47.36667,8.55
25,Wetumpka Municipal,Paris,France,48.85341,2.3488
26,Stanley Municipal,Paris,France,48.85341,2.3488
27,Harvard State,Paris,France,48.85341,2.3488
28,Carthage-Leake County,Paris,France,48.85341,2.3488
29,Butler-Choctaw County,Paris,France,48.85341,2.3488
30,Jekyll Island,Toulouse,France,43.60426,1.44367
31,Sargent Municipal,Toulouse,France,43.60426,1.44367
32,Charleston Municipal,Toulouse,France,43.60426,1.44367
33,South Capitol Street,Toulouse,France,43.60426,1.44367
34,Smithville Municipal,Toulouse,France,43.60426,1.44367
35,Bibb County,Helsinki,Finaland,60.16952,24.93545
36,Elizabethton Municipal,Helsinki,Finaland,60.16952,24.93545
37,Pilot Station,Helsinki,Finaland,60.16952,24.93545
38,Col. Dyke,Helsinki,Finaland,60.16952,24.93545
39,Hartington Municipal,Helsinki,Finaland,60.16952,24.93545
40,Turners Falls,Helsinki,Finaland,60.16952,24.93545
41,Warren-Sugar Bush,Helsinki,Finaland,60.16952,24.93545
42,Elizabeth,Helsinki,Finaland,60.16952,24.93545
43,Dacy,Helsinki,Finaland,60.16952,24.93545
44,Pender Municipal,Porto,Portugal,41.14961,-8.61099
45,South Haven Municipal,Porto,Portugal,41.14961,-8.61099
46,Gettysburg Municipal,Lisbon,Portugal,38.71667,-9.13333
47,Moriarty,Lisbon,Portugal,38.71667,-9.13333
48,Crownpoint,Lisbon,Portugal,38.71667,-9.13333
49,Griffindor,Barcelona,Spain,41.38879,2.15899
50,Huffelputh,Barcelona,Spain,41.38879,2.15899
