,Spalte1,POLL_1,POLL_2,POLL_3,POLL_4,POLL_7,POLL_8,POLL_10,POLL_11,x,y,cluster
0,3011.0,-1,-1,2,1,-1,1,0,2,0.8508037970636526,0.3807288430552371,0
2,2031.0,2,1,2,-1,1,1,-1,2,-0.5315500601845617,1.906835218967091,0
3,4525.0,2,-1,0,-1,1,1,-2,-1,1.6490093050849637,0.26146026028152014,0
4,3926.0,0,0,1,-1,1,1,1,0,0.12610897818311284,-0.8227461630841455,0
5,703.0,1,1,1,0,2,-1,-1,1,-0.09650986238855833,1.4155074740866287,0
6,3131.0,2,1,1,-2,-1,1,-1,2,1.2511339530789607,1.5526057428942093,0
7,2006.0,1,0,0,1,1,0,-1,0,0.6261201586063223,0.12417763637247636,0
8,641.0,-1,-1,-1,1,1,0,1,1,1.150500380854576,-1.3724269478055124,2
10,410.0,-1,2,2,-1,0,-1,-2,2,1.0134690499183736,3.3670857982123987,0
11,1912.0,1,2,1,1,2,-2,-1,1,-0.5692126613753201,1.6541817455570011,0
12,1555.0,2,0,1,-1,2,-2,0,2,0.5163309025740112,0.7820723991531394,0
13,4750.0,0,0,0,1,1,0,0,2,0.3889624552160528,0.2902058726438253,0
15,2866.0,2,2,2,1,2,1,2,1,-3.106017050821819,-0.6759576133451142,1
16,5223.0,2,0,1,1,2,1,2,2,-1.8352021644230685,-1.1822010690481453,1
17,1723.0,1,-1,1,1,-2,2,-2,1,1.7776747072920753,0.8538559251357416,0
18,550.0,2,0,1,2,1,1,1,1,-1.326965570322357,-1.0507606166822558,1
19,886.0,1,0,1,1,2,2,0,0,-1.2798904723438667,-0.3713465003101758,1
22,2101.0,1,-1,1,-2,-1,0,1,1,2.0650332962189633,-0.8883004268668798,2
23,1196.0,1,0,0,0,1,0,0,1,0.6227018793765707,-0.11280758885931327,0
25,3344.0,2,1,1,1,2,2,0,1,-1.9422828539335655,0.2381831672225092,1
26,2200.0,-1,0,1,1,0,-1,1,2,0.6644596060800128,-0.14904672548207915,0
27,289.0,0,-1,0,1,0,2,-2,0,1.396198580990854,0.5028344701141005,0
28,295.0,-1,1,2,0,1,2,2,2,-1.668496916941786,-0.24014220800842118,1
30,1595.0,0,0,0,1,1,-1,1,-1,0.5403708106879535,-1.6736256077619298,2
32,943.0,0,-1,0,-1,1,2,-2,1,1.561863826362921,1.2813572403237823,0
33,2081.0,1,-1,-2,-1,-2,-1,1,1,3.7937505597729033,-1.8991207791780416,2
39,949.0,2,2,2,2,1,2,2,2,-3.3376563868159237,-0.5496186602963287,1
41,1917.0,2,1,2,1,2,2,2,1,-2.990769167976474,-1.0456247505085028,1
42,3722.0,2,1,2,1,2,0,2,0,-2.277189970568985,-1.3603856677661572,1
44,4875.0,2,-2,-2,0,-2,-2,0,0,4.413427883194975,-2.0585854036479514,2
45,3785.0,0,1,1,1,-1,1,1,2,-0.1178411139666012,-0.15228544547313844,0
47,4079.0,0,1,1,1,1,0,-1,1,-0.11558116232215024,1.2538682224160702,0
49,179.0,2,2,2,2,2,2,2,-2,-3.664769613527656,-2.0880429512614254,1
51,2813.0,1,0,1,1,1,1,0,1,-0.4849219668288727,-0.017783332868279222,0
53,5179.0,0,2,0,1,2,1,0,1,-1.305654741357313,0.5797456308286114,1
55,4551.0,0,1,0,1,-1,-1,-1,0,1.6886506695236032,0.4057692890424705,0
56,3033.0,1,0,1,0,1,1,0,0,-0.08304077864764867,-0.2977827331330123,0
58,3004.0,1,0,1,-1,0,0,0,0,1.1138089150485693,-0.22421896595584878,0
60,4632.0,1,-1,-1,-1,-1,1,2,-1,1.9765924729023296,-3.2166294477761923,2
63,331.0,2,0,1,-1,1,-1,-1,2,1.0030196780924916,1.4073823088197468,0
68,3097.0,2,2,2,2,1,1,0,1,-2.325759805429553,0.6454454618610794,1
72,2498.0,1,2,1,1,1,2,-2,2,-1.1306795459481696,2.5461368981312154,0
