,Spalte1,POLL_0,POLL_1,POLL_2,POLL_3,POLL_5,POLL_6,POLL_7,POLL_8,POLL_11,POLL_12,POLL_13,POLL_14,POLL_15,POLL_16,POLL_17,POLL_19,POLL_20,POLL_21,POLL_24,POLL_26,POLL_28,POLL_31,POLL_34,x,y,cluster
0,3011.0,0,1,1,-1,1,0,1,2,1,1,1,1,1,-1,0,1,1,0,1,0,0,0,-1,-0.3377375637289615,-3.29883136923565,0
5,703.0,1,1,-1,1,1,1,0,2,-1,1,1,1,1,1,1,2,1,-1,-1,0,1,1,1,-0.4032657920984914,0.029375647349007446,0
7,2006.0,-1,1,-2,0,1,0,-1,2,0,0,2,1,1,0,2,2,0,1,1,1,2,-1,1,0.8066537828327325,-2.82651279795378,0
17,1723.0,2,0,-1,2,1,0,2,-1,0,1,2,-1,2,-1,1,0,1,0,-1,-1,1,1,2,-4.068021980802153,0.7361030523424898,0
18,550.0,-1,1,-2,1,1,1,1,-1,-1,1,1,-1,2,1,-2,2,1,1,1,-1,1,1,-1,-1.8343511694232306,0.7727525149272703,0
19,886.0,0,1,0,-1,-1,2,0,-1,-1,2,1,2,0,1,0,1,-1,2,1,0,2,1,0,1.3246544715052875,-1.1783418827097294,0
20,618.0,1,1,1,1,0,2,-1,2,-2,-1,0,1,2,2,1,1,1,1,1,-2,2,-2,2,3.8993943996696294,1.5336813820201052,1
25,3344.0,0,1,0,1,2,1,1,1,2,1,1,1,2,-1,0,1,2,1,1,0,1,2,1,-2.0531664283124225,-1.105235735117499,0
42,3722.0,0,2,2,-1,1,2,-1,2,-1,0,1,2,2,2,-2,2,1,2,0,-2,2,0,2,4.1740844955501775,1.6008844408966703,1
47,4079.0,0,1,0,0,0,2,0,0,0,2,0,1,1,-1,-1,2,0,-1,1,-1,2,0,2,0.2838109604458726,-0.5231280708046533,0
72,2498.0,2,2,-2,2,2,2,2,1,-2,2,2,1,2,1,-1,2,2,1,1,-2,2,2,2,-1.792055175638438,4.259252818285768,0
