,ID,Wohnhaft,Alter,S Leitsatz 1,S Leitsatz 2,S Leitsatz 3,S Leitsatz 4,S Leitsatz 5,S Leitsatz 6,L Leitsatz 1,L Leitsatz 2,L Leitsatz 3,L Leitsatz 4,L Leitsatz 5,Alter num,Wohnhaft num
0,1602053439,Extern,Zwischen 41 und 60 Jahre alt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,140262183,Extern,Zwischen 61 und 75 Jahre alt,2.0,2.0,2.0,2.0,2.0,-1.0,0.0,-2.0,2.0,1.0,-2.0,1,0
2,1625313882,Extern,Zwischen 26 und 40 Jahre alt,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,2,0
3,1974612600,Extern,Über 75 Jahre alt,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0
4,756045323,Extern,Zwischen 26 und 40 Jahre alt,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,0
5,2027790384,Extern,Zwischen 41 und 60 Jahre alt,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0,0
6,809298633,Extern,Zwischen 26 und 40 Jahre alt,-2.0,1.0,1.0,2.0,2.0,2.0,2.0,-2.0,1.0,1.0,2.0,2,0
7,1706994662,Extern,Zwischen 26 und 40 Jahre alt,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2,0
8,240842736,Extern,Zwischen 41 und 60 Jahre alt,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0,0
9,1247879003,Extern,Zwischen 41 und 60 Jahre alt,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
10,291095922,Extern,Zwischen 61 und 75 Jahre alt,-2.0,-1.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,0
11,1656863262,Extern,Zwischen 41 und 60 Jahre alt,1.0,1.0,1.0,-1.0,1.0,2.0,-2.0,1.0,-1.0,-1.0,-2.0,0,0
12,413135575,Gebiet A,Zwischen 41 und 60 Jahre alt,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1
13,529964454,Gebiet A,Zwischen 61 und 75 Jahre alt,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1
14,594020145,Gebiet A,Zwischen 16 und 25 Jahre alt,-1.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,1.0,1.0,2.0,4,1
15,141208166,Gebiet A,Zwischen 41 und 60 Jahre alt,-2.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,0,1
16,1995658185,Gebiet A,Zwischen 61 und 75 Jahre alt,-1.0,2.0,-2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1,1
17,15917255,Gebiet A,Zwischen 41 und 60 Jahre alt,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1
18,1800836712,Gebiet A,Zwischen 61 und 75 Jahre alt,-1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1
19,1048638492,Gebiet A,Zwischen 26 und 40 Jahre alt,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,2,1
20,1893246827,Gebiet A,Zwischen 61 und 75 Jahre alt,-2.0,-2.0,-2.0,2.0,2.0,1.0,1.0,2.0,2.0,-2.0,1.0,1,1
21,5104517,Gebiet A,Zwischen 41 und 60 Jahre alt,-1.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1
22,592430460,Gebiet A,Zwischen 41 und 60 Jahre alt,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0,1
23,512044482,Gebiet A,Zwischen 41 und 60 Jahre alt,-1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1
24,1134344752,Gebiet A,Zwischen 41 und 60 Jahre alt,-2.0,-1.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1
25,1950751929,Gebiet A,Zwischen 41 und 60 Jahre alt,-2.0,2.0,-2.0,1.0,2.0,2.0,0.0,-1.0,2.0,1.0,2.0,0,1
26,1371828903,Gebiet A,Zwischen 16 und 25 Jahre alt,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,4,1
27,1360059996,Gebiet A,Zwischen 61 und 75 Jahre alt,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1
28,948541006,Gebiet A,Zwischen 26 und 40 Jahre alt,-2.0,1.0,1.0,2.0,-1.0,1.0,2.0,2.0,2.0,1.0,2.0,2,1
29,1975760484,Gebiet A,Zwischen 26 und 40 Jahre alt,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2,1
30,1246588350,Gebiet A,Zwischen 26 und 40 Jahre alt,-1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,1
31,901676612,Gebiet A,Zwischen 41 und 60 Jahre alt,-1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0,1
32,2080001060,Gebiet A,Zwischen 61 und 75 Jahre alt,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,-1.0,1,1
33,1344427490,Gebiet A,Zwischen 41 und 60 Jahre alt,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1
34,734856438,Gebiet A,Zwischen 61 und 75 Jahre alt,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1
35,508559587,Gebiet A,Zwischen 61 und 75 Jahre alt,-1.0,-1.0,-2.0,2.0,2.0,1.0,1.0,-1.0,2.0,1.0,-1.0,1,1
36,688247290,Gebiet A,Zwischen 61 und 75 Jahre alt,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1
37,1871687553,Gebiet A,Zwischen 26 und 40 Jahre alt,1.0,2.0,2.0,-1.0,-1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,1
38,1916350990,Gebiet A,Zwischen 41 und 60 Jahre alt,-1.0,-1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1
39,374592858,Gebiet A,Zwischen 41 und 60 Jahre alt,-1.0,-1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1
40,337568611,Gebiet A,Zwischen 61 und 75 Jahre alt,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1
41,613320206,Gebiet A,Zwischen 16 und 25 Jahre alt,-1.0,1.0,-1.0,-1.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,-1.0,4,1
42,448187892,Gebiet A,Zwischen 61 und 75 Jahre alt,-2.0,-2.0,-1.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,-1.0,1,1
43,2128445438,Gebiet A,Zwischen 61 und 75 Jahre alt,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-2.0,-1.0,1.0,0.0,1,1
44,924848662,Gebiet A,Zwischen 61 und 75 Jahre alt,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1
45,1784442773,Gebiet A,Zwischen 41 und 60 Jahre alt,-1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1
46,527705897,Gebiet A,Zwischen 61 und 75 Jahre alt,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1
47,943861874,Gebiet A,Zwischen 61 und 75 Jahre alt,-1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1
48,1420199923,Gebiet A,Zwischen 41 und 60 Jahre alt,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,-1.0,2.0,2.0,2.0,0,1
49,1626167670,Gebiet A,Zwischen 41 und 60 Jahre alt,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,2.0,2.0,2.0,1.0,0,1
50,520743623,Gebiet A,Zwischen 41 und 60 Jahre alt,2.0,1.0,2.0,2.0,-1.0,2.0,1.0,1.0,1.0,2.0,1.0,0,1
51,2073652624,Gebiet A,Zwischen 61 und 75 Jahre alt,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1
52,1296621318,Gebiet A,Zwischen 41 und 60 Jahre alt,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0,1
53,1493704064,Gebiet A,Zwischen 41 und 60 Jahre alt,1.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0,1
54,1690958117,Gebiet A,Zwischen 41 und 60 Jahre alt,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,2.0,2.0,0.0,1.0,0,1
55,1909769531,Gebiet A,Zwischen 41 und 60 Jahre alt,-1.0,2.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,2.0,2.0,0,1
56,1697866147,Gebiet A,Zwischen 41 und 60 Jahre alt,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,-1.0,0,1
57,553568918,Gebiet A,Zwischen 41 und 60 Jahre alt,-2.0,-2.0,-2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0,1
