comment-id,timestamp,datetime,author-id,agrees,disagrees,moderated,comment-body,x,y,group_0,group_1
895,1518501496471,Tue Feb 13 12:58:16 WIB 2018,1756,48,8,1,"Smallhouse Rd (at Campbell Ln) heading into town needs to be widened to have room for three lanes (left turn, straight, right turn).",-2.6446435839686027,-0.7948017083257854,0.670250896057575,1.1803233818595244e-37
894,1518499107516,Tue Feb 13 12:18:27 WIB 2018,1480,27,16,1,Doctors should not overreact to the opioid crisis. People in pain shouldn't suffer because others lack self control and abuse the system.,-2.5966662047229097,-0.792609844641734,0.5714285714289168,1.9344563178121233e-11
893,1518498500733,Tue Feb 13 12:08:20 WIB 2018,1751,33,18,1,More free meeting space for nonprofits.,-2.5339274092023696,-0.8951976929751941,1.3839291275814977e-05,0.139318161704166
892,1518498456436,Tue Feb 13 12:07:36 WIB 2018,1751,1,0,-1,Skating rink on Gordon ave.,-2.5580184076674057,-0.8411360138836506,1.4064919018416504,0.29936924308041357
891,1518498361793,Tue Feb 13 12:06:01 WIB 2018,1751,59,9,1,After school activity centers for youth with later hours of operation.,-2.586093232057304,-0.8565494602186954,0.0837561649747099,0.0456810631229477
890,1518498193970,Tue Feb 13 12:03:13 WIB 2018,1751,63,7,1,More affordable home ownership options.,-2.5213061627193247,-0.9265748224132417,1.1662072531406447,0.8333333333331666
889,1518497788717,Tue Feb 13 11:56:28 WIB 2018,1749,1,0,-1,We need to build up and support the historic downtown.   There needs to be less apartments and more activities that support the community.,-2.5620979894393723,-0.9148417965956427,1.7928907363334132,0.16001103446092954
888,1518497602288,Tue Feb 13 11:53:22 WIB 2018,1748,46,8,1,Better visibility on roads. Reflectors and better signage,-2.563847473385015,-0.8371735007933272,0.8519167311626367,0.03643148643183629
887,1518497215716,Tue Feb 13 11:46:55 WIB 2018,1747,1,0,-1,Free cookies for everyone! Yay!,-2.5938746333273226,-0.8746738163050005,0.027738019483026427,0.23904379273523665
886,1518496966699,Tue Feb 13 11:42:46 WIB 2018,1747,1,0,-1,Legalize marijuana so people will stop talking about legalizing marijuana.,-2.655073513775838,-0.8058726746500176,1.1126433875031443,0.005110725959162639
885,1518496723072,Tue Feb 13 11:38:43 WIB 2018,1745,46,9,1,The main problem facing is the workforce development. There is over 6500 jobs open in Warren County. This is a big issue.,-2.5078558794392207,-0.9640713620368042,1.077117154574525,0.00031565288895336673
884,1518495768900,Tue Feb 13 11:22:48 WIB 2018,1740,1,0,-1,Underground electrical wires in downtown area would be very attractive.,-2.513816199945729,-0.9627197467498405,0.8032795839077135,1.1999999999995028
